"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)",Ends
2025-07-02,2025-07-31,"moda.circular - First ad - image2",not_delivering,"moda.circular - First ad set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",95,actions:link_click,2249,2413,0.01894737,-,-,-,1.8,2025-08-01
2025-07-02,2025-07-31,"moda.circular - First ad - image 3",not_delivering,"moda.circular - First ad set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",67,actions:link_click,1514,1578,0.0138806,-,-,-,0.93,2025-08-01
2025-07-02,2025-07-31,"moda.circular - First ad - image4",not_delivering,"moda.circular - First ad set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",122,actions:link_click,2113,2238,0.01352459,-,-,-,1.65,2025-08-01
2025-07-02,2025-07-31,"moda.circular - First ad - image1",not_delivering,"moda.circular - First ad set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",197,actions:link_click,3334,3625,0.01116751,-,-,-,2.2,2025-08-01
